0,2852516 -0,2151389 0,3988829 0,3209838 -0,1978745 0,448473 0,3492345 -0,1756421 0,5028816
0,2849858 -0,2151756 0,3987984 0,3218079 -0,1981746 0,4493873 0,3485645 -0,1758466 0,5027175
0,2851421 -0,2151344 0,3990878 0,3218476 -0,1983153 0,4493044 0,3471316 -0,1760567 0,5026147
0,2852687 -0,2151417 0,3991606 0,3222091 -0,1980614 0,4500138 0,3455245 -0,1768259 0,5009225
0,2853246 -0,215123 0,3992617 0,3223991 -0,1986967 0,4499054 0,3471844 -0,1766919 0,4968298
0,2855012 -0,2150651 0,3994832 0,3225559 -0,1981134 0,4506496 0,3483808 -0,1757532 0,5021144
0,2848412 -0,2151154 0,3993968 0,322095 -0,1982123 0,4505122 0,3465536 -0,1751587 0,4992924
0,2845423 -0,2151579 0,3993769 0,3231539 -0,1983027 0,4502937 0,3444195 -0,1747634 0,4996012
0,284601 -0,215173 0,399476 0,3226924 -0,1978818 0,4511309 0,3466451 -0,1755177 0,5012041
0,2844839 -0,2153629 0,4000179 0,3227687 -0,1974495 0,45075 0,3474128 -0,1752385 0,5027408
0,2844472 -0,2154251 0,4000019 0,3212343 -0,1975698 0,450025 0,3431928 -0,1750192 0,5036398
0,2848202 -0,2154224 0,4003002 0,3223826 -0,1974986 0,4504396 0,3458102 -0,1756234 0,503491
0,2847953 -0,2153995 0,4003952 0,3230911 -0,197799 0,4511617 0,3449717 -0,1756535 0,5020917
0,2849494 -0,2155106 0,400453 0,3200721 -0,1974446 0,4507309 0,3351954 -0,1726163 0,5090002
0,2849039 -0,2156749 0,4005175 0,3200603 -0,1973651 0,4512881 0,3383002 -0,1736912 0,5135044
0,285279 -0,2157394 0,401007 0,3202097 -0,1983121 0,4502146 0,346113 -0,1751114 0,5041733
0,2871113 -0,2155752 0,4025262 0,3195242 -0,197982 0,4522625 0,3428574 -0,1741324 0,5062842
0,2889706 -0,2157546 0,4043449 0,3221089 -0,1991177 0,4540099 0,342657 -0,1744653 0,506708
0,2888147 -0,2163067 0,4058851 0,3198997 -0,1993744 0,455268 0,3436995 -0,1753424 0,5056829
0,2886039 -0,2164047 0,4076431 0,3201644 -0,1996339 0,4583979 0,3405789 -0,1734009 0,5113073
0,2883676 -0,2165626 0,4106629 0,3219966 -0,2002468 0,4606445 0,3361851 -0,1749683 0,5180328
0,2887893 -0,2165266 0,4125621 0,3224875 -0,2002707 0,4631845 0,3359333 -0,1738698 0,5197625
0,2895223 -0,2165133 0,4138699 0,3237659 -0,2001335 0,463428 0,3405726 -0,1758933 0,5132192
0,2893038 -0,2166634 0,4143438 0,3253651 -0,200505 0,4639904 0,3406199 -0,1751692 0,5123925
