0,189054 -0,2250451 0,2939779 0,2919846 -0,2166102 0,3415661 0,3159106 -0,1893224 0,3895749
0,1890488 -0,225014 0,2939701 0,2915053 -0,2160471 0,3409488 0,3163717 -0,1892605 0,3885155
0,189087 -0,2249701 0,2939456 0,2885147 -0,2155586 0,341531 0,3159515 -0,1893156 0,3884833
0,1955013 -0,2210178 0,2997578 0,288067 -0,2143986 0,3431067 0,3162087 -0,1888081 0,3918164
0,1947235 -0,2214985 0,2986567 0,2908524 -0,215149 0,3433551 0,3168212 -0,1900052 0,3911933
0,1980652 -0,2192566 0,302616 0,2893908 -0,2143898 0,3437341 0,3171198 -0,1908625 0,3929028
0,1959437 -0,2205201 0,3000399 0,2886218 -0,2140881 0,3447343 0,3177983 -0,1909305 0,3945716
0,1990416 -0,2184896 0,303838 0,2905302 -0,2144183 0,3456271 0,3208444 -0,189001 0,4056664
0,1968311 -0,2198548 0,3010638 0,2909025 -0,2150961 0,3437211 0,3163319 -0,188129 0,4039556
0,1950639 -0,2206028 0,2993468 0,2925618 -0,2146304 0,3449003 0,3194301 -0,1883011 0,4035633
0,2045473 -0,218119 0,3057441 0,290177 -0,2136001 0,3462676 0,3201379 -0,187333 0,4033884
0,2062743 -0,2174158 0,3075989 0,2912453 -0,2135924 0,3462821 0,3203758 -0,1872483 0,4116941
0,2065843 -0,2169832 0,307952 0,2926781 -0,2133556 0,345907 0,3187398 -0,1877956 0,4023086
0,2127398 -0,2185261 0,3115542 0,2927287 -0,2133116 0,3455895 0,3194821 -0,1875848 0,4016604
0,2135031 -0,2190154 0,3111297 0,2920082 -0,2132056 0,3462626 0,3190615 -0,1870536 0,4076588
0,1996647 -0,2216271 0,3009277 0,2920982 -0,2131411 0,3468828 0,3180944 -0,186833 0,4073936
0,1955855 -0,2246251 0,2956559 0,2926718 -0,2130093 0,3474236 0,3203321 -0,1867236 0,4075603
0,19488 -0,2246208 0,2953231 0,291036 -0,2125496 0,3468284 0,3187134 -0,1863842 0,4079538
0,1944914 -0,2245846 0,2950984 0,290741 -0,2121589 0,3466663 0,3192736 -0,1869919 0,4035529
0,193 -0,2243267 0,2948684 0,29044 -0,2110552 0,3485421 0,3187464 -0,1857655 0,4082775
0,2070427 -0,2157578 0,3125173 0,2922232 -0,2097335 0,3490092 0,3184787 -0,1850085 0,4101143
0,1921468 -0,2202576 0,301265 0,2913265 -0,2080652 0,3490813 0,3225375 -0,1845832 0,4080504
0,1897264 -0,2206607 0,2998939 0,2873867 -0,2042336 0,3513055 0,3166771 -0,1805902 0,4123087
0,1878008 -0,2229465 0,2958649 0,2870837 -0,2013243 0,3492679 0,3212675 -0,1797636 0,409313
0,1861427 -0,224087 0,2938893 0,2823049 -0,2000774 0,3454075 0,3106788 -0,1773211 0,4036111
0,1849058 -0,2237906 0,2939498 0,2831483 -0,1996977 0,3407025 0,3064431 -0,1749556 0,3910743
0,1848841 -0,2249437 0,2922569 0,2828591 -0,1964249 0,3431065 0,302459 -0,173307 0,3925031
0,1842188 -0,2252629 0,2917337 0,2999281 -0,1921207 0,3499477 0,3201767 -0,1710496 0,4027068
0,1843244 -0,2254391 0,2900992 0,3063761 -0,1893481 0,3507601 0,3219781 -0,1679871 0,4112532
0,2170719 -0,2110609 0,3329922 0,3084359 -0,1862061 0,3493618 0,3185979 -0,1636826 0,4184144
0,2652572 -0,1943131 0,3385321 0,3162626 -0,1846051 0,3423925 0,3196949 -0,1611053 0,410661
0,2483937 -0,2018572 0,3172862 0,3301065 -0,1826299 0,3386917 0,3157483 -0,1550093 0,4146535
0,24851 -0,2015158 0,3177018 0,3364223 -0,1806002 0,3351167 0,3158154 -0,1525308 0,4125917
0,2691784 -0,20948 0,2757307 0,3478221 -0,1766731 0,3334114 0,3320211 -0,1530375 0,4070848
0,3392571 -0,1788334 0,3267701 0,3449764 -0,1718355 0,3360484 0,3160893 -0,1476399 0,4169846
0,2854722 -0,213639 0,2780965 0,3439996 -0,1693213 0,334662 0,3205227 -0,147029 0,4081507
0,3143713 -0,1786503 0,3393332 0,3421336 -0,1650193 0,3371012 0,3157531 -0,142658 0,414491
0,2534204 -0,1934717 0,3285314 0,3416276 -0,160822 0,3378165 0,3132594 -0,1403074 0,4176348
0,2543058 -0,1912638 0,3285919 0,3412035 -0,1576015 0,3387005 0,3125783 -0,1409251 0,4123999
0,2514861 -0,1892214 0,3284216 0,3390687 -0,1554404 0,3379253 0,3080539 -0,1356188 0,4200581
0,2938596 -0,1949124 0,2785817 0,3396513 -0,1517089 0,3374753 0,3123277 -0,1366317 0,4083214
0,2311696 -0,1985022 0,3082986 0,3377322 -0,1491755 0,337526 0,3118856 -0,1344588 0,414918
