0,1508111 -0,2226825 0,2055771 0,2058361 -0,2299762 0,2109251 0,2511531 -0,2069452 0,2630658
0,1512356 -0,223057 0,2054016 0,2069474 -0,2315241 0,2108468 0,2514358 -0,2071336 0,2626321
0,1509666 -0,2231883 0,2054978 0,2073278 -0,2320121 0,2114183 0,2516009 -0,207504 0,262142
0,1507589 -0,2232313 0,205419 0,2070258 -0,2326945 0,2112509 0,2511437 -0,2074227 0,2621106
0,150607 -0,2232626 0,2052728 0,2075707 -0,2329731 0,2115603 0,2514423 -0,2073453 0,2622536
0,1501472 -0,2232962 0,2052514 0,2064075 -0,2338574 0,2115023 0,251212 -0,208837 0,2602985
0,1502241 -0,2235217 0,2048892 0,2069383 -0,2343624 0,2111414 0,2517482 -0,2091041 0,2602074
0,1495905 -0,2236643 0,2055118 0,2075566 -0,2345007 0,21129 0,2515666 -0,2092486 0,2602696
0,148392 -0,2239294 0,2057411 0,2078878 -0,2352988 0,2112354 0,2530552 -0,2098105 0,2596991
0,1475252 -0,2242206 0,2059226 0,2067363 -0,2349111 0,210436 0,2537609 -0,2104741 0,257665
0,1476402 -0,2246589 0,2061688 0,2074299 -0,2348513 0,2109647 0,2535133 -0,2093767 0,2613333
0,1472278 -0,2248302 0,2064355 0,2075754 -0,235102 0,2106325 0,2528893 -0,2091966 0,2614378
0,1470177 -0,2249602 0,206619 0,2071664 -0,2348989 0,2105792 0,2526872 -0,2092882 0,2625596
0,1468478 -0,2250899 0,2067595 0,206967 -0,235132 0,2100316 0,2525933 -0,2092732 0,2624168
0,1463058 -0,2251854 0,2068525 0,2063613 -0,2353487 0,2086878 0,2522492 -0,209032 0,2611308
0,1462409 -0,225106 0,2068134 0,2065543 -0,2347004 0,2074348 0,2536782 -0,2095124 0,2604867
0,1473333 -0,2253892 0,2061848 0,2074 -0,2351426 0,2063028 0,2537707 -0,2096033 0,2601593
0,1519809 -0,2269568 0,2048217 0,2092594 -0,2355993 0,2049707 0,2538337 -0,2099132 0,2606565
0,1522459 -0,2269474 0,2046533 0,2100203 -0,2357933 0,2035987 0,2539958 -0,2099453 0,2600551
