0,3166882 -0,1962038 0,2952583 0,3237652 -0,1883312 0,3393559 0,4133244 -0,2232411 0,3548606
0,3093693 -0,1754922 0,3177951 0,3279247 -0,1828572 0,338559 0,3431939 -0,1058971 0,3213559
0,3105096 -0,1779071 0,316301 0,3288127 -0,1831722 0,3384772 0,3437927 -0,106754 0,3216577
0,3097099 -0,176306 0,3170774 0,3289465 -0,1830722 0,3382146 0,3425281 -0,1108824 0,3209803
0,3118532 -0,1807024 0,3151549 0,3288651 -0,1841222 0,3383162 0,3422825 -0,111333 0,3211281
0,3133817 -0,1842116 0,3121956 0,3292509 -0,1834553 0,3385273 0,3404832 -0,1153236 0,3207461
0,3142096 -0,1857857 0,3110531 0,3294345 -0,1839489 0,3383073 0,3410383 -0,1140261 0,3209364
0,3145887 -0,186817 0,3098524 0,3288211 -0,1840796 0,3383478 0,3404118 -0,1132809 0,321358
0,3144244 -0,1872704 0,3092952 0,3292221 -0,1843401 0,3377767 0,3415357 -0,1118422 0,3207869
0,3142536 -0,1856331 0,3137783 0,3296677 -0,1837068 0,3378693 0,3424184 -0,1111305 0,3209274
0,3143593 -0,1852347 0,3153284 0,330114 -0,1842968 0,3373957 0,3424511 -0,1110367 0,3209113
0,3142555 -0,1852846 0,3159942 0,3312646 -0,184394 0,3369887 0,3428916 -0,1109529 0,320596
0,3144637 -0,1851239 0,3166156 0,330071 -0,1840015 0,3369934 0,3403374 -0,1123208 0,3210069
0,3121804 -0,1803704 0,3169183 0,3285339 -0,1832134 0,3370552 0,3422587 -0,1090103 0,3209991
0,3132236 -0,1830722 0,3152749 0,3305858 -0,1839421 0,336881 0,3422661 -0,1103613 0,3210616
0,3133715 -0,1832479 0,3156173 0,3293455 -0,1836087 0,3371668 0,3418574 -0,1113206 0,320714
0,3144844 -0,1864282 0,3119944 0,3313953 -0,1830144 0,3369905 0,3417901 -0,1110717 0,32086
0,3153992 -0,1886546 0,3107745 0,3302331 -0,1843968 0,337575 0,340469 -0,1139035 0,3207005
0,3162804 -0,1898342 0,3103634 0,3326149 -0,1849914 0,3375404 0,3433453 -0,1182186 0,3191167
0,3165499 -0,1906897 0,310129 0,3321536 -0,184386 0,3385444 0,3414948 -0,1169505 0,3202443
0,3169065 -0,1913717 0,3098859 0,3315997 -0,1853441 0,3382193 0,3419291 -0,1244568 0,3196789
0,3171182 -0,191967 0,3097975 0,3322716 -0,1857465 0,3392908 0,3413517 -0,1248792 0,3197913
0,3173976 -0,1921781 0,3097887 0,3317662 -0,1854748 0,339771 0,3447045 -0,1073183 0,3235344
0,3178351 -0,1926059 0,3101726 0,3320546 -0,1843011 0,3401363 0,3428125 -0,1091392 0,3227239
0,3182009 -0,1928657 0,3105682 0,3338341 -0,1851186 0,341277 0,3418629 -0,1159477 0,321604
0,318429 -0,1933322 0,3108426 0,3331188 -0,1864143 0,3420395 0,3428302 -0,1205635 0,3230104
0,3185482 -0,1937824 0,3110778 0,3336207 -0,186128 0,3423253 0,3418462 -0,12316 0,3224311
0,3185389 -0,1938946 0,3112622 0,3341925 -0,1861157 0,3426405 0,3426895 -0,1212207 0,3228272
0,3128192 -0,1804449 0,3170861 0,3338406 -0,1851507 0,3418317 0,3430463 -0,1171916 0,3219897
0,3157142 -0,1861633 0,3157302 0,3349073 -0,18614 0,3418098 0,3427871 -0,1216074 0,322352
0,3132573 -0,1805901 0,3174057 0,33295 -0,1841075 0,3400552 0,3456857 -0,1036307 0,3240216
0,3148493 -0,1841331 0,3153155 0,3329165 -0,1858885 0,3374727 0,343821 -0,1167136 0,3202043
0,3129305 -0,180532 0,3155464 0,331164 -0,1854439 0,3325981 0,3452961 -0,1146252 0,3175218
0,2166419 -0,2360379 0,3254482 0,2855308 -0,2036642 0,3133947 0,3482519 -0,123488 0,3078683
0,2090871 -0,2348988 0,3275499 0,2692089 -0,2087688 0,3041696 0,3424647 -0,1260109 0,3017417
0,1951371 -0,2380103 0,3245555 0,243937 -0,2190095 0,2944033 0,3353788 -0,1345528 0,2936745
0,2000946 -0,2386803 0,3217693 0,2875707 -0,2215579 0,292773 0,3333735 -0,1450391 0,2875914
0,2880993 -0,2342012 0,2897958 0,346351 -0,2012668 0,2737098 0,3288454 -0,1348207 0,274714
0,281724 -0,2346091 0,2919691 0,3364593 -0,2031176 0,2632614 0,3208513 -0,1298556 0,2638617
