0,1442207 -0,4007651 0,2935641 0,2000463 -0,4265279 0,3158586 0,2432591 -0,403647 0,3823852
0,1442478 -0,4007486 0,2935331 0,2015258 -0,4265737 0,315814 0,2434731 -0,4031827 0,3813793
0,144498 -0,4007686 0,2935818 0,2013613 -0,4264227 0,3155345 0,2436707 -0,4032727 0,3818544
0,1445111 -0,4007792 0,2935664 0,2018676 -0,4265228 0,3156774 0,2442511 -0,403118 0,3820497
0,1444597 -0,4006257 0,2934473 0,2014383 -0,4256676 0,3155477 0,243587 -0,4032119 0,382292
0,1445215 -0,4005758 0,2934136 0,202091 -0,425846 0,3153392 0,243878 -0,4025804 0,3813193
0,1445453 -0,4005598 0,2933489 0,2025788 -0,4259706 0,3154688 0,2444596 -0,4026365 0,3814947
0,1446122 -0,4005497 0,2932924 0,2031779 -0,4258315 0,3150988 0,2463951 -0,4026427 0,3835714
0,1446998 -0,4004736 0,2933087 0,2026736 -0,4256171 0,315852 0,2445556 -0,4024206 0,3815276
0,14472 -0,4004297 0,2933217 0,2036853 -0,4256496 0,3160228 0,245483 -0,4023581 0,3828541
0,1447053 -0,4003664 0,2933173 0,2033663 -0,4255763 0,316208 0,2440174 -0,4026648 0,383205
0,1447686 -0,4002387 0,29338 0,2047234 -0,4253482 0,3156949 0,2463239 -0,4018863 0,383349
0,1447918 -0,4001998 0,2933046 0,2048573 -0,425233 0,3159377 0,245921 -0,4015705 0,3814668
0,1448435 -0,400173 0,2932856 0,2045276 -0,4253006 0,3155342 0,2477748 -0,4015991 0,3826805
0,144513 -0,3999186 0,2931777 0,2020739 -0,4269083 0,3172763 0,2449937 -0,4024084 0,3826171
0,1447638 -0,3998336 0,2930535 0,2049495 -0,4242844 0,313992 0,2494043 -0,4011457 0,3823822
0,1448903 -0,3996339 0,2929679 0,2034929 -0,4244278 0,3140259 0,248614 -0,4017306 0,382925
0,1448934 -0,3994476 0,2928417 0,2046613 -0,4243397 0,3143524 0,2461826 -0,4017644 0,3815552
0,1449224 -0,3993579 0,2926075 0,204022 -0,4233682 0,3136306 0,2504265 -0,4006777 0,3822139
0,1449326 -0,3991759 0,2923331 0,2042412 -0,4231352 0,3132271 0,2481177 -0,4012583 0,3810825
0,1450402 -0,3987362 0,2921876 0,2057132 -0,4225135 0,3124199 0,2501385 -0,3998007 0,3802451
0,1449739 -0,3983886 0,291665 0,2064506 -0,4222916 0,311842 0,2490345 -0,3995289 0,3801869
